timestamp,count
2018-03-01 00,6
2018-03-01 01,24
2018-03-01 02,13
2018-03-01 03,4
2018-03-01 04,1
2018-03-01 05,7
2018-03-01 06,3
2018-03-01 07,3
2018-03-01 08,12
2018-03-01 09,6
2018-03-01 10,6
2018-03-01 11,33
2018-03-01 12,13
2018-03-01 13,8
2018-03-01 14,7
2018-03-01 15,4
2018-03-01 16,5
2018-03-01 17,10
2018-03-01 18,6
2018-03-01 19,4
2018-03-01 20,10
2018-03-01 21,9
2018-03-01 22,13
2018-03-01 23,21
2018-03-02 00,5
2018-03-02 01,9
2018-03-02 02,3
2018-03-02 03,3
2018-03-02 04,3
2018-03-02 05,4
2018-03-02 06,2
2018-03-02 07,3
2018-03-02 08,1
2018-03-02 09,5
2018-03-02 10,11
2018-03-02 11,31
2018-03-02 12,15
2018-03-02 13,7
2018-03-02 14,16
2018-03-02 15,15
2018-03-02 16,14
2018-03-02 17,5
2018-03-02 18,9
2018-03-02 19,5
2018-03-02 20,20
2018-03-02 21,37
2018-03-02 22,5
2018-03-02 23,3
2018-03-03 00,1
2018-03-03 02,4
2018-03-03 03,2
2018-03-03 04,5
2018-03-03 05,2
2018-03-03 06,2
2018-03-03 07,3
2018-03-03 08,1
2018-03-03 09,2
2018-03-03 11,2
2018-03-03 12,2
2018-03-03 13,1
2018-03-03 14,1
2018-03-03 15,2
2018-03-03 16,2
2018-03-03 17,3
2018-03-03 19,1
2018-03-03 20,1
2018-03-03 21,1
2018-03-03 22,3
2018-03-03 23,1
2018-03-04 01,3
2018-03-04 02,2
2018-03-04 03,1
2018-03-04 04,1
2018-03-04 08,1
2018-03-04 09,1
2018-03-04 11,1
2018-03-04 12,4
2018-03-04 14,2
2018-03-04 15,8
2018-03-04 16,4
2018-03-04 17,1
2018-03-04 18,1
2018-03-04 19,13
2018-03-04 20,23
2018-03-04 21,4
2018-03-04 22,5
2018-03-04 23,7
2018-03-05 00,4
2018-03-05 01,5
2018-03-05 02,2
2018-03-05 03,3
2018-03-05 04,1
2018-03-05 05,2
2018-03-05 06,2
2018-03-05 07,4
2018-03-05 08,7
2018-03-05 09,3
2018-03-05 10,2
2018-03-05 11,29
2018-03-05 12,6
2018-03-05 13,9
2018-03-05 14,7
2018-03-05 15,16
2018-03-05 16,3
2018-03-05 17,10
2018-03-05 18,6
2018-03-05 19,9
2018-03-05 20,10
2018-03-05 21,7
2018-03-05 22,21
2018-03-05 23,17
2018-03-06 00,10
2018-03-06 01,6
2018-03-06 02,1
2018-03-06 03,2
2018-03-06 04,5
2018-03-06 05,3
2018-03-06 06,4
2018-03-06 07,4
2018-03-06 08,8
2018-03-06 09,3
2018-03-06 10,4
2018-03-06 11,10
2018-03-06 12,18
2018-03-06 13,6
2018-03-06 14,7
2018-03-06 15,13
2018-03-06 16,19
2018-03-06 17,11
2018-03-06 18,5
2018-03-06 19,3
2018-03-06 20,10
2018-03-06 21,20
2018-03-06 22,4
2018-03-06 23,7
2018-03-07 00,13
2018-03-07 01,4
2018-03-07 02,7
2018-03-07 03,5
2018-03-07 04,1
2018-03-07 05,3
2018-03-07 06,3
2018-03-07 07,2
2018-03-07 08,8
2018-03-07 09,14
2018-03-07 10,10
2018-03-07 11,10
2018-03-07 12,10
2018-03-07 13,46
2018-03-07 14,54
2018-03-07 15,15
2018-03-07 16,18
2018-03-07 17,12
2018-03-07 18,15
2018-03-07 19,7
2018-03-07 20,29
2018-03-07 21,32
2018-03-07 22,18
2018-03-07 23,7
2018-03-08 00,2
2018-03-08 01,4
2018-03-08 02,1
2018-03-08 03,6
2018-03-08 04,1
2018-03-08 05,7
2018-03-08 06,6
2018-03-08 07,2
2018-03-08 08,2
2018-03-08 09,3
2018-03-08 10,27
2018-03-08 11,25
2018-03-08 12,16
2018-03-08 13,9
2018-03-08 14,10
2018-03-08 15,7
2018-03-08 16,10
2018-03-08 17,23
2018-03-08 18,15
2018-03-08 19,5
2018-03-08 20,7
2018-03-08 21,8
2018-03-08 22,9
2018-03-08 23,2
2018-03-09 00,31
2018-03-09 01,12
2018-03-09 02,11
2018-03-09 03,6
2018-03-09 04,1
2018-03-09 05,2
2018-03-09 06,6
2018-03-09 07,8
2018-03-09 08,16
2018-03-09 09,17
2018-03-09 10,14
2018-03-09 11,40
2018-03-09 12,8
2018-03-09 13,3
2018-03-09 14,12
2018-03-09 15,15
2018-03-09 16,33
2018-03-09 17,16
2018-03-09 18,12
2018-03-09 19,15
2018-03-09 20,19
2018-03-09 21,22
2018-03-09 22,23
2018-03-09 23,12
2018-03-10 00,14
2018-03-10 01,36
2018-03-10 02,23
2018-03-10 03,19
2018-03-10 04,8
2018-03-10 05,17
2018-03-10 06,6
2018-03-10 07,15
2018-03-10 08,17
2018-03-10 09,53
2018-03-10 10,60
2018-03-10 11,52
2018-03-10 12,141
2018-03-10 13,143
2018-03-10 14,220
2018-03-10 15,223
2018-03-10 16,111
2018-03-10 17,60
2018-03-10 18,125
2018-03-10 19,148
2018-03-10 20,126
2018-03-10 21,172
2018-03-10 22,95
2018-03-10 23,37
2018-03-11 00,17
2018-03-11 01,28
2018-03-11 02,18
2018-03-11 03,32
2018-03-11 04,21
2018-03-11 05,1
2018-03-11 06,6
2018-03-11 07,5
2018-03-11 08,4
2018-03-11 09,14
2018-03-11 10,29
2018-03-11 11,92
2018-03-11 12,41
2018-03-11 13,86
2018-03-11 14,81
2018-03-11 15,48
2018-03-11 16,35
2018-03-11 17,53
2018-03-11 18,36
2018-03-11 19,23
2018-03-11 20,39
2018-03-11 21,37
2018-03-11 22,29
2018-03-11 23,33
2018-03-12 00,10
2018-03-12 01,4
2018-03-12 02,7
2018-03-12 03,16
2018-03-12 04,9
2018-03-12 05,6
2018-03-12 06,10
2018-03-12 07,27
2018-03-12 08,24
2018-03-12 09,12
2018-03-12 10,31
2018-03-12 11,13
2018-03-12 12,46
2018-03-12 13,36
2018-03-12 14,41
2018-03-12 15,53
2018-03-12 16,51
2018-03-12 17,31
2018-03-12 18,50
2018-03-12 19,29
2018-03-12 20,44
2018-03-12 21,28
2018-03-12 22,32
2018-03-12 23,24
2018-03-13 00,21
2018-03-13 01,13
2018-03-13 02,13
2018-03-13 04,5
2018-03-13 05,7
2018-03-13 06,18
2018-03-13 07,8
2018-03-13 08,24
2018-03-13 10,60
2018-03-13 11,24
